Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04/07/24,24369.95,24401,24281,24302.15,251189844,28466.6
05/07/24,24213.35,24363,24168.85,24323.85,298381204,32052.48
08/07/24,24329.45,24344.6,24240.55,24320.55,266299131,26356.03
09/07/24,24351,24443.6,24331.9,24433.2,250537091,29361.08
10/07/24,24459.85,24461.05,24141.8,24324.45,292263786,35358.54
11/07/24,24396.55,24402.65,24193.75,24315.95,306404194,32115.44
12/07/24,24387.95,24592.2,24331.15,24502.15,325823474,39565.33
15/07/24,24587.6,24635.05,24522.75,24586.7,305395934,31593.04
16/07/24,24615.9,24661.25,24587.65,24613,283212233,28668.71
18/07/24,24543.8,24837.75,24504.45,24800.85,350924425,40477.17
19/07/24,24853.8,24854.8,24508.15,24530.9,,
22/07/24,24445.75,24595.2,24362.3,24509.25,324190553,32496.23
23/07/24,24568.9,24582.55,24074.2,24479.05,436408768,44921.42
24/07/24,24444.95,24504.25,24307.25,24413.5,366616574,39538.11
25/07/24,24230.95,24426.15,24210.8,24406.1,391821970,37853.62
26/07/24,24423.35,24861.15,24410.9,24834.85,383826136,42118.36
29/07/24,24943.3,24999.75,24774.6,24836.1,354966070,37102.92
30/07/24,24839.4,24971.75,24798.65,24857.3,384989431,37576.58
31/07/24,24886.7,24984.6,24856.5,24951.15,333646302,35411.32
01/08/24,25030.95,25078.3,24956.4,25010.9,431313292,38822.9
02/08/24,24789,24851.9,24686.85,24717.7,345027881,35368.54
05/08/24,24302.85,24350.05,23893.7,24055.6,486994718,45066.65
06/08/24,24189.85,24382.6,23960.4,23992.55,312339387,31553.65
07/08/24,24289.4,24337.7,24184.9,24297.5,317564429,29738.85
08/08/24,24248.55,24340.5,24079.7,24117,311875940,30858.18
09/08/24,24386.85,24419.75,24311.2,24367.5,215129992,22339.19
12/08/24,24320.05,24472.8,24212.1,24347,279925100,30311.85
13/08/24,24342.35,24359.95,24116.5,24139,239727640,25459.58
14/08/24,24184.4,24196.5,24099.7,24143.75,303254705,27834.61
16/08/24,24334.85,24563.9,24204.5,24541.15,271611087,28521.9
19/08/24,24636.35,24638.8,24522.95,24572.65,243645503,22124.41
20/08/24,24648.9,24734.3,24607.2,24698.85,238318940,25478.73
21/08/24,24680.55,24787.95,24654.5,24770.2,257114212,27404.63
22/08/24,24863.4,24867.35,24784.45,24811.5,220345125,24227.03
23/08/24,24845.4,24858.4,24771.65,24823.15,206800655,23134.22
26/08/24,24906.1,25043.8,24874.7,25010.6,210266456,22166.86
27/08/24,25024.8,25073.1,24973.65,25017.75,223346636,26695
28/08/24,25030.8,25129.6,24964.65,25052.35,220419448,26994.19
29/08/24,25035.3,25192.9,24998.5,25151.95,353993900,43221.73
30/08/24,25249.7,25268.35,25199.4,25235.9,638166179,89554.91
02/09/24,25333.6,25333.65,25235.5,25278.7,222815249,28187.71
03/09/24,25313.4,25321.7,25235.8,25279.85,212131921,27276.14
04/09/24,25089.95,25216,25083.8,25198.7,253788501,26293.35
05/09/24,25250.5,25275.45,25127.75,25145.1,222242223,26272.38
06/09/24,25093.7,25168.75,24801.3,24852.15,311671856,33001.17
09/09/24,24823.4,24957.5,24753.15,24936.4,254367252,25180.28
10/09/24,24999.4,25130.5,24896.8,25041.1,251274802,27846.31
11/09/24,25034,25113.7,24885.15,24918.45,279229206,29395.73
12/09/24,25059.65,25433.35,24941.45,25388.9,380069653,41747.91
13/09/24,25430.45,25430.5,25292.45,25356.5,250781898,25530.69
16/09/24,25406.65,25445.7,25336.2,25383.75,168694880,18705.01
17/09/24,25416.9,25441.65,25352.25,25418.55,215956868,25280.83
18/09/24,25402.4,25482.2,25285.55,25377.55,215727159,28832
19/09/24,25487.05,25611.95,25376.05,25415.8,314461263,34389.27
20/09/24,25525.95,25849.25,25426.6,25790.95,533067422,68915.27
23/09/24,25872.55,25956,25847.35,25939.05,209187756,24825.74
24/09/24,25921.45,26011.55,25886.85,25940.4,384115033,35573.63
25/09/24,25899.45,26032.8,25871.35,26004.15,278540972,27868.08
26/09/24,26005.4,26250.9,25998.4,26216.05,370895477,40838.36
27/09/24,26248.25,26277.35,26151.4,26178.95,490332370,55420.63
30/09/24,26061.3,26134.7,25794.1,25810.85,375370974,36028.06
01/10/24,25788.45,25907.6,25739.2,25796.9,247423786,27473.29
03/10/24,25452.85,25639.45,25230.3,25250.1,423395030,45689.5
04/10/24,25181.9,25485.05,24966.8,25014.6,374914801,42719.71
07/10/24,25084.1,25143,24694.35,24795.75,374345795,40550.24
08/10/24,24832.2,25044,24756.8,25013.15,333220055,33493.36
09/10/24,25065.8,25234.05,24947.7,24981.95,290562844,30877.63
10/10/24,25067.05,25134.05,24979.4,24998.45,261364749,28046.45
11/10/24,24985.3,25028.65,24920.05,24964.25,210462717,21734.97
14/10/24,25023.45,25159.75,25017.5,25127.95,206423311,21270.9
15/10/24,25186.3,25212.05,25008.15,25057.35,257228772,29113.88
16/10/24,25008.55,25093.4,24908.45,24971.3,226774456,24115.83
17/10/24,25027.4,25029.5,24728.9,24749.85,252755662,32606.34
18/10/24,24664.95,24886.2,24567.65,24854.05,290855392,31772.76
21/10/24,24956.15,24978.3,24679.6,24781.1,241978957,32207.22
22/10/24,24798.65,24882,24445.8,24472.1,279484697,32801.59
23/10/24,24378.15,24604.25,24378.1,24435.5,284556771,31928.1
24/10/24,24412.7,24480.65,24341.2,24399.4,216686434,27817.66
25/10/24,24418.05,24440.25,24073.9,24180.8,372642214,37068.91
28/10/24,24251.1,24492.6,24134.9,24339.15,278562235,28136.06
29/10/24,24328.85,24484.5,24140.85,24466.85,332044690,35579.48
30/10/24,24371.45,24498.2,24307.3,24340.85,285196335,31068.7
31/10/24,24349.85,24372.45,24172.6,24205.35,287007588,33403.89
01/11/24,24302.75,24368.25,24280.2,24304.35,38811387,3348.45
04/11/24,24315.75,24316.75,23816.15,23995.35,285531635,31561.52
05/11/24,23916.5,24229.05,23842.75,24213.3,289511197,30074.77
06/11/24,24308.75,24537.6,24204.05,24484.05,351082031,34108.84
07/11/24,24489.6,24503.35,24179.05,24199.35,322185588,30971.89
08/11/24,24207.7,24276.15,24066.65,24148.2,298725122,27670.3
11/11/24,24087.25,24336.8,24004.6,24141.3,273370562,26600.28
12/11/24,24225.8,24242,23839.15,23883.45,255825829,26852.73
13/11/24,23822.45,23873.6,23509.6,23559.05,304569316,27765.81
14/11/24,23542.15,23675.9,23484.15,23532.7,257708474,24814.37
18/11/24,23605.3,23606.8,23350.4,23453.8,263311912,25257.33
19/11/24,23529.55,23780.65,23464.8,23518.5,297477279,30486.78
21/11/24,23488.45,23507.3,23263.15,23349.9,420332354,40900.89
22/11/24,23411.8,23956.1,23359,23907.25,367562789,39257.52
25/11/24,24253.55,24351.55,24135.45,24221.9,687172787,85975.81
26/11/24,24343.3,24343.3,24125.4,24194.5,230691771,24140.67
27/11/24,24204.8,24354.55,24145.65,24274.9,295011445,31149.09
28/11/24,24274.15,24345.75,23873.35,23914.15,366745300,41198.27
29/11/24,23927.15,24188.45,23927.15,24131.1,282104071,30509.98
02/12/24,24140.85,24301.7,24008.65,24276.05,220384187,23162.75
03/12/24,24367.5,24481.35,24280,24457.15,339470947,34228.3
04/12/24,24488.75,24573.2,24366.3,24467.45,348003156,34639.78
05/12/24,24539.15,24857.75,24295.55,24708.4,361469920,40471.33
06/12/24,24729.45,24751.05,24620.5,24677.8,226731303,23904.13
09/12/24,24633.9,24705,24580.05,24619,248139308,25099.79
10/12/24,24652.65,24677.8,24510.65,24610.05,261048951,26093.38
11/12/24,24620.5,24691.75,24583.85,24641.8,187252712,21592.23
12/12/24,24604.45,24675.25,24527.95,24548.7,266051129,28235.17
13/12/24,24498.35,24792.3,24180.8,24768.3,310080852,30429.73
16/12/24,24753.4,24781.25,24601.75,24668.25,187551629,18608.23
17/12/24,24584.8,24624.1,24303.45,24336,264881033,26765.16
18/12/24,24297.95,24394.45,24149.85,24198.85,235346534,23315.92
19/12/24,23877.15,24004.9,23870.3,23951.7,271128027,27815.23
20/12/24,23960.7,24065.8,23537.35,23587.5,442714411,47084.68
23/12/24,23738.2,23869.55,23647.2,23753.45,189758237,18243.28
24/12/24,23769.1,23867.65,23685.15,23727.65,177664746,16010.71
26/12/24,23775.8,23854.5,23653.6,23750.2,177681783,16695.1
27/12/24,23801.4,23938.85,23800.6,23813.4,176821521,17164.99
30/12/24,23796.9,23915.35,23599.3,23644.9,364929453,33823.95
31/12/24,23560.6,23689.85,23460.45,23644.8,193627727,18646.79
01/01/25,23637.65,23822.8,23562.8,23742.9,154921938,14266.26
02/01/25,23783,24226.7,23751.55,24188.65,283200811,32237.25
03/01/25,24196.4,24196.45,23976,24004.75,312279515,29411.99
06/01/25,24045.8,24089.95,23551.9,23616.05,278061806,25853.64
07/01/25,23679.9,23795.2,23637.8,23707.9,262337253,22485.65
08/01/25,23746.65,23751.85,23496.15,23688.95,266375381,24718.54
09/01/25,23674.75,23689.5,23503.05,23526.5,269239831,26793.85
10/01/25,23551.9,23596.6,23344.35,23431.5,261022434,25017.6
13/01/25,23195.4,23340.95,23047.25,23085.95,316481107,26890.37
14/01/25,23165.9,23264.95,23134.15,23176.05,311235510,31174.05
15/01/25,23250.45,23293.65,23146.45,23213.2,228039156,21587.78
16/01/25,23377.25,23391.65,23272.05,23311.8,299416081,29784.82
17/01/25,23277.1,23292.1,23100.35,23203.2,272945267,27040.78
20/01/25,23290.4,23391.1,23170.65,23344.75,301455455,27333.97
21/01/25,23421.65,23426.3,22976.85,23024.65,312871897,30106.72
22/01/25,23099.15,23169.55,22981.3,23155.35,275951918,25462.05
23/01/25,23128.3,23270.8,23090.65,23205.35,275558357,27723.78
24/01/25,23183.9,23347.3,23050,23092.2,264336332,24412.46
27/01/25,22940.15,23007.45,22786.9,22829.15,257372790,24202.41
28/01/25,22960.45,23137.95,22857.65,22957.25,361868609,33221.8
29/01/25,23026.75,23183.35,22976.5,23163.1,251208119,22307.38
30/01/25,23169.5,23322.05,23139.2,23249.5,384687127,35252.87
31/01/25,23296.75,23546.8,23277.4,23508.4,326919177,28638.01
01/02/25,23528.6,23632.45,23318.3,23482.15,287703637,25741.04
03/02/25,23319.35,23381.6,23222,23361.05,347241171,32019.13
04/02/25,23509.9,23762.75,23423.15,23739.25,376742506,35974.3
05/02/25,23801.75,23807.3,23680.45,23696.3,267014345,25806.44
06/02/25,23761.95,23773.55,23556.25,23603.35,306978683,30885.59
07/02/25,23649.5,23694.5,23443.2,23559.95,368092482,30042
10/02/25,23543.8,23568.6,23316.3,23381.6,225529166,21254.72
11/02/25,23383.55,23390.05,22986.65,23071.8,267969979,27191.96
12/02/25,23050.8,23144.7,22798.35,23045.25,279656513,26989.94
13/02/25,23055.75,23235.5,22992.2,23031.4,265706855,25218.86
14/02/25,23096.45,23133.7,22774.85,22929.25,254479643,22049.89
17/02/25,22809.9,22974.2,22725.45,22959.5,207393944,19809.44
18/02/25,22963.65,22992.5,22801.5,22945.3,210616675,19431.37
19/02/25,22847.25,23049.95,22814.85,22932.9,206999204,19817.93
20/02/25,22821.1,22923.85,22812.75,22913.15,240836647,21303.88
21/02/25,22857.2,22921,22720.3,22795.9,242753984,21994.37
24/02/25,22609.35,22668.05,22518.8,22553.35,214317552,20772.95
25/02/25,22516.45,22625.3,22513.9,22547.55,250279519,24917.83
27/02/25,22568.95,22613.3,22508.4,22545.05,289230479,29775.64
28/02/25,22433.4,22450.35,22104.85,22124.7,551285287,52745.2
03/03/25,22194.55,22261.55,22004.7,22119.3,282399735,25942.05
04/03/25,21974.45,22105.05,21964.6,22082.65,253260641,22979.56
05/03/25,22073.05,22394.9,22067.8,22337.3,305942691,26371.61
06/03/25,22476.35,22556.45,22245.85,22544.7,372083680,30550.28
07/03/25,22508.65,22633.8,22464.75,22552.5,289765795,21446.95
10/03/25,22521.85,22676.75,22429.05,22460.3,293855491,22330.86
11/03/25,22345.95,22522.1,22314.7,22497.9,347924102,29208.22
12/03/25,22536.35,22577.4,22329.55,22470.5,369736725,33406.41
13/03/25,22541.5,22558.05,22377.35,22397.2,287535243,22855.58
17/03/25,22353.15,22577,22353.15,22508.75,251102239,24122.27
18/03/25,22662.25,22857.8,22599.2,22834.3,272578844,26387.47
19/03/25,22874.95,22940.7,22807.95,22907.6,323992121,26994.95
20/03/25,23036.6,23216.7,22973.95,23190.65,313729818,27573.99
21/03/25,23168.25,23402.7,23132.8,23350.4,540966316,51005.67
24/03/25,23515.4,23708.75,23433.5,23658.35,311900413,28871.35
25/03/25,23751.5,23869.6,23601.4,23668.65,338216746,35415.03
26/03/25,23700.95,23736.5,23451.7,23486.85,278590831,26877.28
27/03/25,23433.95,23646.45,23412.2,23591.95,510302142,46481.84
28/03/25,23600.4,23649.2,23450.2,23519.35,387455531,29156.37
01/04/25,23341.1,23565.15,23136.4,23165.7,375118343,30680.7
02/04/25,23192.6,23350,23158.45,23332.35,340970371,24334.3
03/04/25,23150.3,23306.5,23145.8,23250.1,283196379,23501.33
04/04/25,23190.4,23214.7,22857.45,22904.45,466776198,33761.96
07/04/25,21758.4,22254,21743.65,22161.6,647107618,49172.14
08/04/25,22446.75,22697.2,22270.85,22535.85,468250807,37226.82
09/04/25,22460.3,22468.7,22353.25,22399.15,383822618,28996.55
11/04/25,22695.4,22923.9,22695.4,22828.55,402162001,33683.6
15/04/25,23368.35,23368.35,23207,23328.55,388321931,34216.17
16/04/25,23344.1,23452.2,23273.05,23437.2,348424960,28102.36
17/04/25,23401.85,23872.35,23298.55,23851.65,505333905,38450.09
21/04/25,23949.15,24189.55,23903.65,24125.55,406145632,33125.62
